ARMAS NOVAS EM 2012 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;1;0;0;0;0;0;0;0;0;0;0;0;1
;TOTAL DE REGISTROS DE ARMAS NOVAS;65;171;131;172;100;100;31;33;46;234;113;617;1813
;TOTAL DE REGISTROS EXPEDIDOS;128;209;614;304;180;116;78;42;11;58;92;190;2022
MA;Pessoa física;1;8;2;0;1;3;0;1;0;2;1;0;19
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;18;0;0;0;0;0;71;0;0;0;89
;Órgão Público;0;0;0;0;0;0;0;0;37;0;0;0;37
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;1;8;20;0;1;3;0;1;108;2;1;0;145
;TOTAL DE REGISTROS EXPEDIDOS;77;87;54;39;53;26;33;50;148;48;20;34;669
MG;Pessoa física;73;51;69;45;86;56;102;139;77;41;36;31;806
;Segurança Pública;0;0;0;2;0;1;0;39;8;0;0;236;286
;Segurança Privada;3;11;36;37;27;30;8;1;43;0;0;0;196
;Órgão Público;0;0;0;28;0;0;0;0;0;0;0;401;429
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;2;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;76;62;105;112;113;87;110;179;128;41;38;668;1719
;TOTAL DE REGISTROS EXPEDIDOS;191;280;178;205;241;272;243;381;265;462;352;489;3559
MS;Pessoa física;23;8;19;23;19;21;9;50;23;21;17;29;262
;Segurança Pública;0;2;0;0;0;0;0;0;0;0;0;0;2
;Segurança Privada;0;20;0;2;0;5;0;0;7;0;0;0;34
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;23;30;19;25;19;26;9;50;30;21;17;29;298
;TOTAL DE REGISTROS EXPEDIDOS;52;53;51;68;51;64;122;75;32;45;47;53;713
MT;Pessoa física;59;62;98;107;166;117;161;125;119;145;103;141;1403
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;10;22;0;0;13;6;9;21;0;9;18;6;114
;Órgão Público;0;0;0;0;0;18;0;15;0;0;0;0;33
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;69;84;98;107;179;141;170;161;119;154;121;147;1550
;TOTAL DE REGISTROS EXPEDIDOS;49;69;83;74;110;131;134;73;84;142;102;153;1204
PA;Pessoa física;22;15;20;18;16;16;13;7;5;14;29;11;186
;Segurança Pública;0;0;0;0;0;5;0;10;0;0;0;0;15
;Segurança Privada;36;10;3;41;0;97;3;221;17;68;0;15;511
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;2;0;17;0;0;0;0;0;0;19
;TOTAL DE REGISTROS DE ARMAS NOVAS;58;25;23;61;16;135;16;238;22;82;29;26;731
;TOTAL DE REGISTROS EXPEDIDOS;39;16;18;27;169;36;274;123;3;18;45;95;863
PB;Pessoa física;3;8;7;7;13;13;10;10;3;4;4;7;89
;Segurança Pública;3;0;0;0;0;0;0;10;0;0;0;149;162
;Segurança Privada;0;0;10;0;0;8;26;5;0;30;0;0;79
;Órgão Público;0;0;0;0;0;0;0;1;0;0;0;0;1
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;17;0;0;17
;TOTAL DE REGISTROS DE ARMAS NOVAS;6;8;17;7;13;21;36;26;3;51;4;156;348
;TOTAL DE REGISTROS EXPEDIDOS;9;13;175;38;67;34;38;8;7;37;15;49;490
PE;Pessoa física;15;12;29;32;20;37;20;8;45;32;25;16;291
;Segurança Pública;70;0;0;0;0;0;0;15;0;0;0;0;85
;Segurança Privada;1;4;16;2;4;0;1;65;9;48;19;0;169
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;2;0;0;0;2;0;0;0;0;0;0;0;4
;TOTAL DE REGISTROS DE ARMAS NOVAS;88;16;45;34;26;37;21;88;54;80;44;16;549
;TOTAL DE REGISTROS EXPEDIDOS;121;79;152;60;72;193;84;44;34;128;36;44;1047
PI;Pessoa física;26;18;34;23;37;47;47;15;45;38;39;25;394
;Segurança Pública;0;0;0;0;0;0;0;10;0;0;0;1;11
;Segurança Privada;1;10;29;0;0;0;0;5;0;21;1;0;67
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;27;28;63;23;37;47;47;30;45;59;40;26;472
;TOTAL DE REGISTROS EXPEDIDOS;38;41;61;59;36;51;63;12;38;58;47;22;526
PR;Pessoa física;135;188;161;241;226;221;265;175;118;256;238;224;2448
;Segurança Pública;0;0;0;0;0;0;0;14;0;0;0;894;908
;Segurança Privada;168;22;32;33;125;317;34;454;34;21;35;127;1402
;Órgão Público;0;0;3;14;10;2;0;0;35;0;19;0;83
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;303;210;196;288;361;540;299;643;187;277;292;1245;4841
;TOTAL DE REGISTROS EXPEDIDOS;208;319;394;376;368;263;342;227;141;398;283;927;4246
RJ;Pessoa física;98;77;145;140;261;149;170;182;177;143;193;123;1858
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;68;58;13;35;9;39;0;3;36;1;0;8;270
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;1;0;1;0;0;1;0;3
;Outros Tipos;0;0;0;0;0;0;0;21;0;0;0;0;21
;TOTAL DE REGISTROS DE ARMAS NOVAS;166;135;158;175;270;189;170;207;213;144;194;131;2152
;TOTAL DE REGISTROS EXPEDIDOS;137;53;140;231;335;157;367;147;143;207;310;165;2392
RN;Pessoa física;22;19;41;27;23;29;28;30;27;32;22;27;327
;Segurança Pública;0;0;0;100;0;0;0;9;0;0;0;0;109
;Segurança Privada;10;0;8;3;11;0;0;9;0;11;0;0;52
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;2;0;0;0;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;32;19;49;130;34;29;28;50;27;43;22;27;490
;TOTAL DE REGISTROS EXPEDIDOS;50;31;39;48;43;30;49;23;50;51;60;43;517
RO;Pessoa física;12;16;33;18;21;15;35;28;27;18;22;24;269
;Segurança Pública;0;0;0;0;0;0;0;10;0;0;0;2;12
;Segurança Privada;0;0;0;0;15;11;9;7;0;0;0;0;42
;Órgão Público;0;0;0;0;0;0;0;0;0;2;0;0;2
;Loja de Arma;0;0;0;0;2;0;0;0;0;0;0;0;2
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL;12;16;33;18;38;26;44;45;27;20;22;26;327
;TOTAL DE REGISTROS EXPEDIDOS;11;24;90;15;32;16;45;14;13;36;57;51;404
RR;Pessoa física;1;5;2;3;0;0;5;2;1;3;2;7;31
;Segurança Pública;0;0;0;0;0;0;0;3;0;0;0;0;3
;Segurança Privada;0;0;0;24;0;0;0;0;0;0;0;0;24
;Órgão Público;0;0;0;0;0;0;0;1;0;0;0;0;1
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;1;5;2;27;0;0;5;6;1;3;2;7;59
;TOTAL DE REGISTROS EXPEDIDOS;18;36;10;12;11;11;9;12;5;16;10;32;182
RS;Pessoa física;202;175;240;219;271;196;269;125;44;198;181;223;2343
;Segurança Pública;0;3;0;0;0;0;0;30;0;0;0;3;36
;Segurança Privada;16;15;1;45;23;27;38;0;4;10;34;32;245
;Órgão Público;0;0;90;2;0;0;0;0;0;0;0;0;92
;Loja de Arma;0;0;0;0;4;13;1;0;0;0;0;0;18
;Outros Tipos;2;0;0;0;0;0;0;0;0;0;0;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;220;193;331;266;298;236;308;155;48;208;215;258;2736
;TOTAL DE REGISTROS EXPEDIDOS;392;251;568;421;576;638;515;263;110;586;922;366;5608
SC;Pessoa física;128;113;235;198;226;237;269;170;100;228;317;325;2546
;Segurança Pública;0;0;0;0;0;0;500;15;50;0;0;81;646
;Segurança Privada;8;2;64;45;17;49;46;16;30;22;2;20;321
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;136;115;299;243;243;286;815;201;180;250;319;426;3513
;TOTAL DE REGISTROS EXPEDIDOS;169;295;452;234;411;370;849;186;96;486;296;418;4262
SE;Pessoa física;8;9;17;3;17;12;18;18;16;7;9;2;136
;Segurança Pública;0;0;0;0;0;3;0;5;0;0;0;0;8
;Segurança Privada;0;0;0;0;0;0;5;0;0;0;0;0;5
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;8;9;17;3;17;15;23;23;16;7;9;2;149
;TOTAL DE REGISTROS EXPEDIDOS;12;12;74;166;53;28;49;29;37;50;12;36;558
SP;Pessoa física;36;42;111;135;112;122;104;108;35;153;170;166;1294
;Segurança Pública;0;0;0;0;0;0;18;15;0;0;0;0;33
;Segurança Privada;188;86;51;99;42;114;64;225;61;79;52;126;1187
;Órgão Público;0;44;67;14;0;40;50;34;33;18;66;112;478
;Loja de Arma;0;0;6;0;0;0;0;0;0;0;0;0;6
;Outros Tipos;0;0;0;0;1;0;0;5;0;4;5;12;27
;TOTAL DE REGISTROS DE ARMAS NOVAS;224;172;235;248;155;276;236;387;129;254;293;416;3025
;TOTAL DE REGISTROS EXPEDIDOS;462;308;563;371;518;599;508;367;358;471;729;555;5809
TO;Pessoa física;3;9;9;5;5;2;2;0;5;6;1;1;48
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;20;10;7;4;0;54;0;0;4;0;0;0;99
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;23;19;16;9;5;56;2;0;9;6;1;1;147
;TOTAL DE REGISTROS EXPEDIDOS;17;25;19;276;84;7;30;26;12;20;107;437;1060
TODAS;TOTAL GERAL DE ARMAS NOVAS;1824;1677;2267;2402;2361;2691;2828;4135;2957;2681;3579;7712;37114
TODAS;TOTAL GERAL DE REGISTROS EXPEDIDOS;6707;2796;4545;3915;4661;3566;4869;2737;3543;6067;4396;5286;53088
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
