ARMAS NOVAS EM 2021 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
;Empresa com Segurança Orgânica;2;0;0;0;0;0;0;2;0;0;0;0;4
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;14;2;3;7;60;10;10;10;5;23;5;0;149
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;6;0;0;0;0;0;0;0;0;0;6
;Órgão público sem taxa;0;0;102;5;322;1245;0;1;0;10;0;0;1685
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;168;136;306;109;421;1413;118;144;147;173;128;52;3315
;TOTAL DE REGISTROS EXPEDIDOS;165;188;393;145;461;1450;179;178;270;223;201;58;3911
DF;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;210;201;277;318;340;311;359;376;299;250;214;280;3435
;Servidor Público (Porte por prerrogativa de função);42;31;46;42;38;52;60;84;73;35;42;31;576
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;5;0;0;9;26;9;14;0;4;11;15;4;97
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;6;125;0;131
;Órgão público sem taxa;0;62;0;13;0;0;0;1;0;4963;0;0;5039
;Outras Categorias;0;0;0;20;0;0;0;0;0;0;0;0;20
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;257;294;323;402;404;372;433;461;376;5265;396;315;9298
;TOTAL DE REGISTROS EXPEDIDOS;394;396;458;537;602;815;539;593;509;5362;498;479;11182
ES;Caçador de Subsistência;0;0;0;0;0;0;1;0;0;0;0;0;1
;Cidadão;447;759;806;779;841;992;973;727;668;742;697;613;9044
;Servidor Público (Porte por prerrogativa de função);11;23;18;16;20;23;22;17;23;14;16;18;221
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;1;1
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;5;0;10;21;7;8;1;0;0;0;0;10;62
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;27;0;0;27
;Órgão público sem taxa;770;0;0;0;0;0;10;50;0;0;3;0;833
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;1233;782;834;816;868;1023;1007;794;691;783;716;642;10189
;TOTAL DE REGISTROS EXPEDIDOS;1318;1216;1240;914;973;1232;1060;936;779;862;850;697;12077
GO;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;515;541;717;486;505;701;546;901;629;437;412;354;6744
;Servidor Público (Porte por prerrogativa de função);46;47;66;60;56;45;43;91;51;44;28;46;623
;Empresa com Segurança Orgânica;2;0;1;0;0;1;0;1;0;0;0;1;6
;Empresa Comercial;0;0;0;0;0;0;0;0;1;0;0;0;1
;Empresa de Segurança Privada;28;0;8;135;17;4;19;15;20;22;2;24;294
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;482;1;1;8;3;708;1;1;1;0;0;4;1210
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;2;0;0;0;0;0;0;0;0;0;0;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;1075;589;793;689;581;1459;609;1009;702;503;442;429;8880
;TOTAL DE REGISTROS EXPEDIDOS;1204;737;968;829;742;1572;702;1182;847;676;501;771;10731
MA;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;293;202;327;303;422;409;314;463;411;249;272;290;3955
;Servidor Público (Porte por prerrogativa de função);31;19;29;31;31;33;29;35;27;22;15;19;321
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;1;0;0;1
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;1;36;0;0;8;0;17;0;10;36;0;0;108
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;5;0;0;6;0;12;0;0;0;0;23
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;325;257;361;334;461;448;360;510;448;308;287;309;4408
;TOTAL DE REGISTROS EXPEDIDOS;354;301;414;376;611;573;414;557;474;406;311;323;5114
MG;Caçador de Subsistência;0;0;0;0;0;0;1;0;0;0;0;0;1
;Cidadão;1778;1492;2509;1805;1991;1341;1286;1845;1883;1889;1253;2215;21287
;Servidor Público (Porte por prerrogativa de função);259;160;233;183;143;115;82;148;134;123;95;161;1836
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;2;0;0;0;0;2
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;15;32;6;37;71;63;1;2;17;5;22;31;302
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;13;13
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;38;2;51;20;30;0;10;53;370;78;51;225;928
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;2090;1686;2799;2045;2235;1519;1380;2050;2404;2095;1421;2645;24369
;TOTAL DE REGISTROS EXPEDIDOS;2634;2542;3761;2475;2809;1807;1932;2591;3428;2529;1867;3171;31546
MS;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;309;234;279;239;261;305;344;327;305;375;227;149;3354
;Servidor Público (Porte por prerrogativa de função);61;36;45;40;27;37;36;50;50;51;16;17;466
;Empresa com Segurança Orgânica;8;0;0;0;0;0;0;0;0;0;0;0;8
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;5;0;2;19;22;0;0;0;0;10;5;63
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;20;0;0;0;0;0;130;1;0;0;0;151
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;378;295;324;281;307;364;380;507;356;426;253;171;4042
;TOTAL DE REGISTROS EXPEDIDOS;480;607;430;363;530;455;445;656;406;571;375;233;5551
MT;Caçador de Subsistência;1;0;0;0;0;3;0;2;0;0;0;0;6
;Cidadão;658;871;1015;802;992;1237;1021;1555;1094;1341;1285;958;12829
;Servidor Público (Porte por prerrogativa de função);23;25;18;23;25;38;36;47;34;38;46;21;374
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;8;9;4;4;42;2;10;0;0;8;0;17;104
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;350;0;0;0;0;0;0;0;0;350
;Órgão público sem taxa;210;0;332;0;0;306;0;0;0;0;0;0;848
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;900;905;1369;1179;1059;1586;1067;1604;1128;1387;1331;996;14511
;TOTAL DE REGISTROS EXPEDIDOS;1072;1052;1626;1286;1251;1786;1251;1890;1372;1614;1488;1138;16826
PA;Caçador de Subsistência;7;21;7;8;23;13;24;29;26;33;27;12;230
;Cidadão;408;463;549;611;572;705;547;479;519;589;434;276;6152
;Servidor Público (Porte por prerrogativa de função);23;26;41;24;35;33;36;30;23;15;22;14;322
;Empresa com Segurança Orgânica;0;0;0;0;20;0;0;0;0;0;0;0;20
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;19;5;0;0;83;4;12;151;16;31;17;1;339
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;12;3;630;31;0;5;105;29;30;40;85;5;975
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;469;518;1227;674;733;760;724;718;614;708;585;308;8038
;TOTAL DE REGISTROS EXPEDIDOS;640;590;1449;777;790;854;907;787;1012;814;725;420;9765
PB;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;160;105;199;115;174;174;174;164;191;123;115;60;1754
;Servidor Público (Porte por prerrogativa de função);22;18;22;19;19;16;25;22;23;14;7;6;213
;Empresa com Segurança Orgânica;0;0;0;2;0;2;0;2;3;0;2;2;13
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;1;0;18;3;15;19;0;0;0;8;10;0;74
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;15;0;0;0;0;0;0;0;0;0;0;0;15
;Órgão público sem taxa;0;0;0;0;7;0;0;0;0;0;0;0;7
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;198;123;239;139;215;211;199;188;217;145;134;68;2076
;TOTAL DE REGISTROS EXPEDIDOS;238;149;479;185;263;283;248;234;310;201;157;96;2843
PE;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;289;368;375;268;374;411;375;315;307;212;230;176;3700
;Servidor Público (Porte por prerrogativa de função);75;69;81;40;53;76;71;70;74;43;52;47;751
;Empresa com Segurança Orgânica;4;0;0;0;0;0;0;0;0;0;0;0;4
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;65;5;0;0;0;31;2;31;0;0;0;8;142
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;1;0;0;0;26;3;0;0;0;0;0;0;30
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;2;0;0;0;0;0;0;1;0;0;0;0;3
;TOTAL DE REGISTROS DE ARMAS NOVAS;436;442;456;308;453;521;448;417;381;255;282;231;4630
;TOTAL DE REGISTROS EXPEDIDOS;571;564;587;375;619;672;594;697;510;357;374;462;6382
PI;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;83;127;186;128;184;200;186;103;127;209;163;102;1798
;Servidor Público (Porte por prerrogativa de função);17;26;30;28;28;32;15;22;14;16;19;10;257
;Empresa com Segurança Orgânica;0;0;0;5;0;1;0;0;0;0;0;0;6
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;10;0;0;1;6;0;6;0;8;9;0;40
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;2;0;0;20;0;0;22
;Órgão público sem taxa;0;1;0;0;6;0;0;0;0;0;0;0;7
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;100;164;216;161;219;239;203;131;141;253;191;112;2130
;TOTAL DE REGISTROS EXPEDIDOS;121;203;232;170;238;287;243;180;174;267;208;148;2471
PR;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;560;755;930;786;791;806;985;946;847;854;836;789;9885
;Servidor Público (Porte por prerrogativa de função);27;52;46;45;30;32;50;54;60;50;50;34;530
;Empresa com Segurança Orgânica;1;0;0;0;3;0;0;0;0;2;0;0;6
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;18;0;7;25;46;13;11;14;67;104;4;18;327
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;10;0;0;0;0;0;0;0;0;0;10
;Órgão público sem taxa;3;9;20;28;40;40;10;23;1;14;1085;302;1575
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;609;816;1013;884;910;891;1056;1037;975;1024;1975;1143;12333
;TOTAL DE REGISTROS EXPEDIDOS;1020;1127;1483;1281;1239;1277;1375;1569;1320;1411;2428;1461;16991
RJ;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;594;558;760;735;902;863;982;885;816;860;875;678;9508
;Servidor Público (Porte por prerrogativa de função);74;70;97;68;78;96;88;101;86;90;90;64;1002
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;5;0;0;0;0;5
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;106;94;87;6;101;0;5;67;14;4;56;9;549
;Fabricante/Importador;0;0;0;0;0;0;0;0;2;0;0;0;2
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;20;11;2;0;1;15;0;2;0;0;51
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;774;722;964;820;1083;959;1076;1073;918;956;1021;751;11117
;TOTAL DE REGISTROS EXPEDIDOS;940;861;1316;1124;1493;1149;1326;1307;1355;1160;1216;882;14129
RN;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;127;153;296;208;121;193;174;158;207;145;115;107;2004
;Servidor Público (Porte por prerrogativa de função);23;19;41;34;28;37;40;19;24;21;19;21;326
;Empresa com Segurança Orgânica;0;0;0;0;0;0;2;0;0;0;0;0;2
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;1;35;11;21;11;0;3;5;0;0;0;87
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;14;0;0;0;0;0;0;0;0;14
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;150;173;372;267;170;241;216;180;236;166;134;128;2433
;TOTAL DE REGISTROS EXPEDIDOS;265;199;445;362;234;329;272;221;296;214;203;173;3213
RO;Caçador de Subsistência;2;1;0;0;0;1;0;0;0;0;0;0;4
;Cidadão;364;350;661;533;541;601;569;614;597;441;312;349;5932
;Servidor Público (Porte por prerrogativa de função);33;17;47;33;28;33;42;143;124;62;38;52;652
;Empresa com Segurança Orgânica;8;0;0;0;0;3;0;0;0;0;0;0;11
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;35;21;0;4;0;6;4;0;6;2;5;0;83
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;1;5;0;0;30;0;0;0;0;0;384;420
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;442;390;713;570;569;674;615;757;727;505;355;785;7102
;TOTAL DE REGISTROS EXPEDIDOS;601;473;847;668;672;770;722;897;838;592;520;926;8526
RR;Caçador de Subsistência;0;0;0;2;0;0;0;0;0;0;0;0;2
;Cidadão;23;37;31;148;85;105;103;100;96;60;76;73;937
;Servidor Público (Porte por prerrogativa de função);25;30;16;23;4;8;16;14;9;2;1;4;152
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;0;0;0;0;0;0;0;0;0;0;0;0
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;48;67;47;173;89;113;119;114;105;62;77;77;1091
;TOTAL DE REGISTROS EXPEDIDOS;64;77;70;223;96;130;143;125;125;64;92;123;1332
RS;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;1;0;0;1
;Cidadão;1404;1154;1073;1421;1696;1751;1862;1643;1391;1517;1260;1138;17310
;Servidor Público (Porte por prerrogativa de função);99;90;79;87;64;100;131;163;105;137;97;84;1236
;Empresa com Segurança Orgânica;0;0;2;0;0;0;0;0;0;0;12;0;14
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;60;107;30;65;26;1;118;13;0;70;8;5;503
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;1;1;2
;Órgão público com taxa;0;0;0;0;0;0;0;30;17;0;0;0;47
;Órgão público sem taxa;5;340;44;84;0;9;44;0;6;0;93;32;657
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;1;0;0;0;1
;TOTAL DE REGISTROS DE ARMAS NOVAS;1568;1691;1228;1657;1786;1861;2155;1849;1520;1725;1471;1260;19771
;TOTAL DE REGISTROS EXPEDIDOS;2150;2179;1635;2534;2434;2514;2837;2432;2214;2440;1972;1853;27194
SC;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;1031;842;1320;1083;1115;1069;1172;1209;1232;1072;973;822;12940
;Servidor Público (Porte por prerrogativa de função);31;28;46;33;34;31;39;50;41;35;19;17;404
;Empresa com Segurança Orgânica;0;2;0;0;0;0;0;0;0;0;0;0;2
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;43;2;26;5;27;12;26;75;2;0;16;18;252
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;25;0;0;25
;Órgão público sem taxa;12;0;0;0;0;0;3;2;4;11;0;10;42
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;1;0;1
;TOTAL DE REGISTROS DE ARMAS NOVAS;1117;874;1392;1121;1176;1112;1240;1336;1279;1143;1009;867;13666
;TOTAL DE REGISTROS EXPEDIDOS;1370;1203;1705;1407;1578;1483;1573;1639;1692;1434;1243;1169;17496
SE;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;153;109;78;138;147;194;200;294;96;140;156;67;1772
;Servidor Público (Porte por prerrogativa de função);8;6;7;18;53;21;10;26;3;11;10;3;176
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;8;0;10;0;10;3;4;8;0;0;11;54
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;15;0;0;30;0;260;0;0;305
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;161;123;85;166;215;225;213;354;107;411;166;81;2307
;TOTAL DE REGISTROS EXPEDIDOS;169;164;144;193;258;254;266;382;138;445;200;114;2727
SP;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;750;686;747;608;636;735;764;732;830;618;632;645;8383
;Servidor Público (Porte por prerrogativa de função);419;479;365;324;274;338;322;306;287;250;276;279;3919
;Empresa com Segurança Orgânica;0;0;5;0;0;17;0;3;7;7;0;3;42
;Empresa Comercial;0;0;0;0;0;10;0;0;0;0;80;0;90
;Empresa de Segurança Privada;20;19;232;135;98;25;29;46;31;93;11;48;787
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;6;7;0;0;0;20;0;0;0;2;9;7;51
;Órgão público sem taxa;366;1743;12;16;2;71;9;99;3987;3636;54;141;10136
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
